category,monthly_earnings,subscribers,views,uploads
Animals,11120,2141071,738694619,696
Autos,6455,1358424,383536914,661
Comedy,13639,5008017,1297376517,1199
Education,20026,3377660,1589255902,488
Entertainment,13509,2975862,1279749914,4776
Film,11943,2200461,1035872918,908
Games,11325,4437635,1746559285,1995
Howto,15150,5729361,1225525979,731
Music,15473,3993768,1983268280,1763
News,13528,3004897,1169301152,40607
Nonprofit,10500,4573023,814866732,31499
People,13248,2643811,916102493,2404
Shows,18980,3103069,2222480483,9679
Sports,9761,1391948,579021071,2986
Tech,9416,2758288,586694548,611
Travel,11857,2059978,602986353,1357
